ID,HospitalName,Category,TotalBeds,TotalICUBeds,TotalVentilators,AllocationPercentage,AllocatedBeds,AllocatedICUBeds,AllocatedVentilators,OccupiedConfirmed,OccupiedSuspect,OccupiedICUBeds,OccupiedVentilators,Created,Modified,IsActive,Type,Address,Rate,ContactNumber,Latitude,Longitude,ModifiedDate
7937,MoIQ Laboratory,Private,0,0,0,0,0,0,0,0,0,0,0,2020-11-23T11:34:28.637,2020-11-23T11:34:28.637,1,Labs,"Plot 28,29, Sector 18(P), Electronic City, Udyog Vihar, Phase IV, Gurgaon",RS. 1600(inclusive of GST/taxes),,28.5006188411657,77.0719912430314,2020-11-23T11:34:28.637Z
8329,Thyrocare Technologies Ltd,Private,0,0,0,0,0,0,0,0,0,0,0,2020-11-23T11:34:28.653,2020-11-23T11:34:28.653,1,Labs,"Plot No 428, Udhyog Vihar, Phase 4, Next to Vishesh Overseas, Gurgaon",RS. 1600(inclusive of GST/taxes),,28.5011466846154,77.076849003895,2020-11-23T11:34:28.653Z
2469,Rapidx-A Cauro Diagnostics Pvt Ltd,Private,0,0,0,0,0,0,0,0,0,0,0,2020-11-23T11:34:28.657,2020-11-23T11:34:28.657,1,Labs,"Plot No 4, Kirti Nagar, Sector 15, Part 1, Gurgaon",RS. 1600(inclusive of GST/taxes),,28.455538516162,77.0375284398083,2020-11-23T11:34:28.657Z
8745234,Artemis Hospital Lab Services,Private,0,0,0,0,0,0,0,0,0,0,0,2020-11-23T11:34:28.663,2020-11-23T11:34:28.663,1,Labs,Gurugram,RS. 1600(inclusive of GST/taxes),,,,2020-11-23T11:34:28.663Z
7338,"Molecular Biology Laboratory, Dept of Laboratory Sciences, Paras Hospital",Private,0,0,0,0,0,0,0,0,0,0,0,2020-11-23T11:41:08.403,2020-11-23T11:41:08.403,1,Labs,"C-1, Sector 43, Sushant Lok, Phase 1, Gurugram",RS. 1600(inclusive of GST/taxes),,28.4508884794892,77.0875880263167,2020-11-23T11:41:08.403Z
344,Satyam Medicare Hospital,Private,50,0,0,40,20,0,0,15,0,0,0,2020-08-25T12:31:39.327,2021-04-21T09:25:50.74,1,,,,,,,2021-04-21T09:25:50.074Z
1577,Civil Hospital,Government,20,0,0,100,20,0,0,12,0,0,0,2020-11-23T11:34:28.667,2021-04-21T09:25:50.74,1,Labs,"Sector 10, Gurugram",RS. 1600(inclusive of GST/taxes),,28.4564057425361,76.9974318974807,2021-04-21T09:25:50.074Z
13061,Metro Hospital,Private,80,14,6,40,32,10,4,32,0,10,4,2020-09-12T07:38:29.177,2021-04-21T10:44:30.157,1,Hospital,"H Block, Chauma Village, Sector 1, Palam Vihar, Gurugram - 122017",,01244777000,28.5182,77.0388,2021-04-21T10:44:30.157Z
8748635,Satyam Medicare Hospital,Private,50,0,0,40,20,0,0,20,0,0,0,2020-09-12T07:38:29.177,2021-04-21T11:02:28.007,1,Hospital,C-2 17 dlf phase 1 Arjun marg - 122002,,,0,0,2021-04-21T11:02:28.007Z
11720,Naryana Hospital,Private,100,25,8,40,40,18,6,40,0,18,6,2020-09-12T07:38:29.177,2021-04-21T11:08:32.437,1,Hospital,"Plot 3201, Block - V, DLF Phase - III, Nathupur, Sector 24, Gurugram - 122002",,08067506880,28.4979,77.1019,2021-04-21T11:08:32.437Z
9269,Yashroop Hospitals,Private,35,3,0,40,14,2,0,14,0,2,0,2020-09-12T07:38:29.177,2021-04-21T11:12:06.25,1,Hospital,"12-P, Sector 9, Neki Ram Marg, Gurugram, - 122001",,01242256333,28.463996,76.991398,2021-04-21T11:12:06.025Z
6464,Paras Hospital,Private,220,75,25,40,88,53,18,88,0,53,18,2020-09-12T07:38:29.177,2021-04-21T11:13:39.24,1,Hospital,"Phase- I, Paras Hospitals, C-1, Sushant Lok Phase I, Sector 43, Gurugram - 122002",,01244585555,28.4511,77.0877,2021-04-21T11:13:39.024Z
2963,Cloudnine Hospital,Private,31,0,0,40,12,0,0,12,0,0,0,2020-09-12T07:38:29.177,2021-04-21T11:20:57.46,1,Hospital,"Plot No. A-2 MSJ House, Vikas Marg, beside SS Plaza, Mayfield Garden, Sector 47, Gurugram - 122018",,9972899728,28.42763,77.057393,2021-04-21T11:20:57.046Z
2746,Polaris Hospital,Private,63,0,0,40,25,0,0,25,0,0,0,2020-09-12T07:38:29.177,2021-04-21T13:24:34.5,1,Hospital,"Opp. Raheja Mall, Sohna Road, Sector-48,Gurugram, near Vipul Business Park, Gurugram - 122002",,01247178890,28.421416,77.037706,2021-04-21T13:24:34.005Z
5855,"Poly Clinic Sector 31, Gurugram",Government,22,0,0,100,22,0,0,19,3,0,0,2020-09-12T07:38:29.177,2021-04-21T13:29:28.203,1,Hospital,"388, LIG Colony, Sector 31, Gurugram - 122002",,01242380575,28.453789,77.04955,2021-04-21T13:29:28.203Z
2634,C K Birla Hospital,Private,45,0,0,40,18,0,0,14,4,0,0,2020-09-12T07:38:29.177,2021-04-21T13:36:07.35,1,Hospital,"Block J, CK Birla Hospital, Mayfield Garden, Sector 51, Gurugram - 122018",,01244882200,28.423842,77.06151,2021-04-21T13:36:07.035Z
1986,Royal Stay,Private,25,0,0,0,0,0,0,0,0,0,0,2021-04-22T05:09:32.16,2021-04-22T05:09:32.16,1,Facility,"DLF  Phase-III, Gurugram",1500+ Taxes,8860281534 (Shivangi),28.48812275878586,77.1087590252025,2021-04-22T05:09:32.016Z
6098,"Moon Lights By  Roomani
Hospitality",Private,30,0,0,0,0,0,0,0,0,0,0,2021-04-22T05:09:32.17,2021-04-22T05:09:32.17,1,Facility,"D-22, Palam Vihar, Gurugram",1500-/,9717954487,28.5080023816517,77.0313845845598,2021-04-22T05:09:32.017Z
7254,Hotel Diamond,Private,18,0,0,0,0,0,0,0,0,0,0,2021-04-22T05:09:32.19,2021-04-22T05:09:32.19,1,Facility,Behind Medanta Hospital,2000-/,8010289495,28.4372603716176,77.0394465350063,2021-04-22T05:09:32.019Z
10812,The Royal,Private,14,0,0,0,0,0,0,0,0,0,0,2021-04-22T05:09:32.137,2021-04-22T05:09:32.137,1,Facility,"994/914 Near Basai Flyover, Gurugram",1500+ Taxes,9720726424 (Manjul),28.4610073081147,76.9819308813978,2021-04-22T05:09:32.137Z
6876,Hotel LS 21,Private,22,0,0,0,0,0,0,0,0,0,0,2021-04-22T05:09:32.167,2021-04-22T05:09:32.167,1,Facility,"Sec-46, Gurugram",1500+ Taxes,8860281534 (Shivangi),28.429736416764,77.0595766368518,2021-04-22T05:09:32.167Z
5993,Sky city Hotel,Private,40,0,0,0,0,0,0,0,0,0,0,2021-04-22T05:09:32.173,2021-04-22T05:09:32.173,1,Facility,"1 Old judicial Complex, Sector-15, Gurugram.",2500-/,9711400286,28.458662823045,77.0359410117077,2021-04-22T05:09:32.173Z
8753033,Rumania Hospitality,Private,16,0,0,0,0,0,0,0,0,0,0,2021-04-22T05:09:32.193,2021-04-22T05:09:32.193,1,Facility,"Sector-23   near Presidium School,",1600-/,9717954487,,,2021-04-22T05:09:32.193Z
6656,Hotel New Destination,Government,30,0,0,0,0,0,0,0,0,0,0,2021-04-22T05:16:20.5,2021-04-22T05:16:20.5,1,Facility,"Civil Lines, Gurugram",999+Taxes( 3 Times Meal),9810795357 (Jitender),28.4512081452854,77.0333807619958,2021-04-22T05:16:20.005Z
3105,Moms PG-3,Government,17,0,0,0,0,0,0,0,0,0,0,2021-04-22T05:16:20.51,2021-04-22T05:16:20.51,1,Facility,"B-9, Nobel Enclave, Gurugram",700 (3 Times Meal),9911330447 (Baljeet),28.499622019795073,77.0607340076116,2021-04-22T05:16:20.051Z
8297,Aryan Hospital Gurugram,Private,50,7,4,40,20,5,3,13,10,7,3,2020-09-12T07:38:29.177,2021-04-22T18:10:58.05,1,Hospital,Old Railway Road Gurugram - 122001,,01244910020,28.4696,77.0196,2021-04-22T18:10:58.005Z
4867,Life Aid Medical Centre,Private,30,6,0,40,12,4,0,12,0,4,0,2020-09-12T07:38:29.177,2021-04-22T18:11:23.267,1,Hospital,"1097, Sector 40, Gurugram - 122001",,911244212342,28.444877,77.057643,2021-04-22T18:11:23.267Z
6377,Mayom Hospital,Private,62,9,3,40,39,9,3,39,0,9,3,2020-09-12T07:38:29.177,2021-04-22T18:11:46.283,1,Hospital,"D-Block, 19, South City Rd Number 1, Block G, South City I, Sector 41, Gurugram - 122001",,01244111880,28.458,77.0634,2021-04-22T18:11:46.283Z
5446,Orbit Hospital,Private,14,4,2,40,12,4,2,12,0,4,2,2020-09-12T07:38:29.177,2021-04-22T18:12:01.127,1,Hospital,"Sec 32, Main Jharsa Road, Gurugram - 122018",,,28.449498,77.044177,2021-04-22T18:12:01.127Z
8052,Umkal Hospital,Private,50,7,0,40,20,5,0,20,0,5,0,2020-09-12T07:38:29.177,2021-04-22T18:12:14.737,1,Hospital,"A-5/20 Sushant Lok-1, Gurugram - 122022",,911244666555,28.471664,77.073296,2021-04-22T18:12:14.737Z
6964,Sethi Hospital,Private,48,0,0,40,19,2,0,19,0,2,0,2020-09-12T07:38:29.177,2021-04-22T18:12:37.627,1,Hospital,"02, 301, 4, Basai Rd, Model Town, Gurugram - 122018",,01244118001,28.456771,77.020799,2021-04-22T18:12:37.627Z
5693,Hotel the heaven,Private,30,0,0,0,0,0,0,0,0,0,0,2021-04-23T12:22:14.197,2021-04-23T12:22:14.197,1,Facility,"sector-31 Plot no. 145, Gate no. 4, Near Raheja Apartment, gurugram.",Dedicated for Delhivery Employees,,28.4521234439381,77.0451245791816,2021-04-23T12:22:14.197Z
3105,Moms PG-2,Government,40,0,0,0,0,0,0,0,0,0,0,2021-04-22T05:16:20.507,2021-04-23T12:44:20.19,1,Facility,"B-11, Nobel Enclave, Gurugram",700 (3 Times Meal),9911330447 (Baljeet),28.499622019795073,77.0607340076116,2021-04-23T12:44:20.019Z
6916,GVS Hotels Pvt. Ltd,Private,38,0,0,0,0,0,0,0,0,0,0,2021-04-23T12:27:48.06,2021-04-23T13:17:30.657,1,Facility,"Plot no. 183-P, Sec-38 Gurugram.",2500+Taxes,9818073527,28.4362263670239,77.0463369976547,2021-04-23T13:17:30.657Z
6514,Fortis Hospital,Private,290,62,32,40,116,43,22,116,0,43,22,2020-09-12T07:38:29.177,2021-04-25T11:59:52.787,1,Hospital,"Opposite Huda City Metro Station, Sector 44, Gurugram - 122001",,8376908992,28.4574,77.0728,2021-04-25T11:59:52.787Z
7866,Mamta Hospital,Private,50,8,0,40,20,4,1,20,0,4,1,2020-09-12T07:38:29.177,2021-04-25T14:41:31.5,1,Hospital,"877/2, Mata Road,Near Haryana Roadways Workshop, Gurugram - 122006",,,28.469865,77.033908,2021-04-25T14:41:31.005Z
6073,DDR Hotel,Private,15,0,0,0,0,0,0,0,0,0,0,2021-04-23T12:24:54.99,2021-04-26T08:28:25.05,1,Facility,"SCO 9P, Old jindal Complex, Civil lines, Gurugram",3000+Taxes,9811069022,28.4582440241101,77.035270927048,2021-04-26T08:28:25.005Z
16853,SDH Sohna (Sub Divisional Hospital),Government,50,0,0,0,24,0,0,24,0,0,0,2021-04-26T11:24:36.557,2021-04-26T11:24:49.38,1,Hospital,"Baluda Rd, Rajoria Nagar, Sohna, Haryana 122103",,0124 297 1051,28.2496274371298,77.0689974908309,2021-04-26T11:24:49.038Z
2160,Park Hospital,Private,130,38,26,40,52,27,18,52,0,27,18,2020-09-12T07:38:29.177,2021-04-27T06:09:19.247,1,Hospital,"Q Block South City 2, Sohna Rd, Main, Sector 47, Gurugram - 122001",,01244900000,28.42,77.0484,2021-04-27T06:09:19.247Z
2340,Center of Diabetes & Allied Science,Private,36,4,0,40,14,3,1,14,0,3,1,2020-12-15T06:23:54.313,2021-04-27T15:45:33.693,1,Hospital,,,,28.4220583878056,77.0508825847368,2021-04-27T15:45:33.693Z
11238,Chirag Hospital,Private,48,0,0,40,19,0,0,19,0,0,0,2020-09-12T07:38:29.177,2021-04-28T13:24:45.367,1,Hospital,"3236/31 Rajendra Park, Sector 105, Gurugram, Haryana - 122006",,01140787308,28.495357,77.011474,2021-04-28T13:24:45.367Z
11039,Aarvy Healthcare Super Specialty Hospital Sector 90,Private,0,0,0,0,0,0,0,0,0,0,0,2021-04-26T11:12:30.15,2021-04-28T19:30:37.623,1,Hospital,"Sector 90, Gurugram, Haryana 122505",,,28.412622319156,76.9418471065512,2021-04-28T19:30:37.623Z
1177,Reliance Jio,Private,20,0,0,0,0,0,0,0,0,0,0,2021-04-29T09:23:22.557,2021-04-29T09:23:22.557,1,Facility,R K 4 Square DLF Cyber City Phase II,Dedicated for Reliance Jio Infocom Limited.,8851528111,28.4967538633658,77.090221413372,2021-04-29T09:23:22.557Z
3437,GVS Hotel Pvt Ltd.,Private,55,0,0,0,0,0,0,0,0,0,0,2021-04-29T09:25:36.03,2021-04-29T09:25:36.03,1,Facility,Plot no. 201 Sector47 gurugram,2500 including taxes,9818073527,28.4560372557042,77.0965994772255,2021-04-29T09:25:36.003Z
9278,GVS Hotel Pvt Ltd.,Private,36,0,0,0,0,0,0,0,0,0,0,2021-04-29T09:27:02.39,2021-04-29T09:27:02.39,1,Facility,Plot no. S351 Sector 49 Gurugram.,2500 including taxes,9818073527,28.412596871372,77.0435119230835,2021-04-29T09:27:02.039Z
5415,Hotel four Sight,Private,23,0,0,0,0,0,0,0,0,0,0,2021-04-29T09:29:30.54,2021-04-30T05:04:38.143,1,Facility,"Sector 14 Old delhi road, Gurugram.",2000 including taxes,9717954487,28.468839671946,77.036907283083,2021-04-30T05:04:38.143Z
5424,Co Rooms,Private,40,0,0,0,0,0,0,0,0,0,0,2021-04-29T09:30:48.667,2021-04-30T05:05:23.607,1,Facility,P1088 Sector 40 Gurugram.,Dedicated for Nivaran Multispeciality Hospital,8792739537,28.44562368575187,77.0576746000585,2021-04-30T05:05:23.607Z
9376,Hotel Lemon Tree,Private,30,0,0,0,0,0,0,0,0,0,0,2021-04-29T09:31:50.13,2021-04-30T05:06:11.033,1,Facility,Sector 60 Gurugram,3000 including taxes,9711708885,28.4022262244864,77.099948599735,2021-04-30T05:06:11.033Z
3735,Jukaso Hotel,Private,65,0,0,0,0,0,0,0,0,0,0,2021-04-29T09:32:43.377,2021-04-30T05:06:33.217,1,Facility,sector 14,2500 with taxes,8800620664,28.4724738222138,77.0537662848111,2021-04-30T05:06:33.217Z
9741,K K Healthcare,Private,10,0,0,40,7,0,0,7,0,0,0,2020-09-12T07:38:29.177,2021-04-30T05:34:38.033,1,Hospital,"238, Sector 5, Gurugram, Haryana - 122001",,01141172158,28.483059,77.017855,2021-04-30T05:34:38.033Z
12428,Medeor Hospital,Private,110,2,0,100,42,2,15,42,0,2,15,2020-09-12T07:38:29.177,2021-05-01T09:43:17.43,1,Hospital,"Plot no 2, Sector 5, IMT Manesar, Gurugram - 122001",,01244755555,28.366724,76.933045,2021-05-01T09:43:17.043Z
7471,Kalyani Hospital,Private,50,0,0,40,20,0,4,20,0,0,4,2020-09-12T07:38:29.177,2021-05-02T05:54:06.027,1,Hospital,"Mehrauli-Gurgaon Rd, Anamika Enclave, Sector 14, Gurugram - 122001",,01244666999,28.467776,77.042534,2021-05-02T05:54:06.027Z
5419,Co-Rooms,Private,40,0,0,0,0,0,0,0,0,0,0,2021-04-22T05:09:32.177,2021-05-02T09:35:34.37,1,Facility,"P 1088, Sector-40, Gurugram.",1700-/,8010289495,28.4456897205028,77.0576531423884,2021-05-02T09:35:34.037Z
4675,W.Pratiksha Hospital,Private,54,14,2,40,22,10,1,22,0,10,1,2020-09-12T07:38:29.177,2021-05-02T15:43:59.287,1,Hospital,"Golf Course Ext Rd, Sushant Lok-II, Shushant Lok 2, Sector 56, Gurugram - 122011",,01244131036,28.41854,77.09718,2021-05-02T15:43:59.287Z
9000,ESI Hospital,Government,72,0,0,100,72,0,0,72,0,0,0,2020-09-12T07:38:29.177,2021-05-03T04:31:21.853,1,Hospital,"769, Near Mothers Pride School, sector 9A, Gurugram, Haryana - 122001",,01242252001,28.4675,77.00086,2021-05-03T04:31:21.853Z
6676,Kathuria Hospital,Private,50,6,2,40,20,4,2,20,0,4,2,2020-09-12T07:38:29.177,2021-05-04T03:28:37.723,1,Hospital,"9/8, Modal Town, Opp. S.D. School, Khandsa Road, Gurugram - 122001",,01244119992,28.453421,77.019988,2021-05-04T03:28:37.723Z
8748635,Samvit Health Care,Private,100,8,1,40,40,6,1,40,0,6,1,2020-09-12T07:38:29.177,2021-05-04T06:17:38.517,1,Hospital,"1, Sohna Rd, Islampur Village, Sector 38, Gurugram, Haryana - 122018",,9540057569,0,0,2021-05-04T06:17:38.517Z
723,Comfort Inn,Private,20,0,0,0,0,0,0,7,0,0,0,2021-04-22T05:09:32.157,2021-05-06T04:38:37.767,1,Facility,"DLF  Phase-III, Gurugram",1500+ Taxes,8860281534 (Shivangi),28.49267174207395,77.0874114503466,2021-05-06T04:38:37.767Z
4487,Medanta the Medicity,Private,1136,200,148,40,454,140,104,454,0,140,104,2020-09-12T07:38:29.177,2021-05-06T17:17:05.01,1,Hospital,"CH Baktawar Singh Rd, Near Olympus, Medicity, Islampur Colony, Sector 38, Gurugram - 122001",,01244141414,28.439923,77.04078,2021-05-06T17:17:05.001Z
7893,Kamla Hospital,Private,50,7,2,40,20,5,1,20,0,5,1,2020-09-12T07:38:29.177,2021-05-06T17:25:54.463,1,Hospital,"Pataudi Road NEAR RADHA SWAMI SATSANG BHAVAN, Kadipur Industrial Area, Sector 37C, Gurugram - 122505",,09910926116,28.446375,76.991562,2021-05-06T17:25:54.463Z
12029,Colombia Asia Hospital,Private,72,0,6,40,28,0,6,28,0,0,6,2020-09-12T07:38:29.177,2021-05-06T18:39:42.2,1,Hospital,"Ansal Plaza Near Gol Chakkar, Block F, Palam Vihar, Gurugram - 122017",,012439898969,28.5091,77.0416,2021-05-06T18:39:42.002Z
6989,Max Hospital,Private,74,24,7,40,43,14,6,43,0,14,6,2020-09-12T07:38:29.177,2021-05-06T18:40:02.827,1,Hospital,"B Block, Sushant Lok 1, Near Huda City Centre, Gurugram - 122001",,01246623000,28.4614,77.0746,2021-05-06T18:40:02.827Z
7942,Sheetla Hospital,Private,36,7,0,40,14,5,0,3,0,5,0,2020-09-12T07:38:29.177,2021-05-07T03:45:15.337,1,Hospital,"Near DSD College, New Railway Road, Gurugram - 122001",,911242875800,28.468286,77.025557,2021-05-07T03:45:15.337Z
3834,Artemis Hospital,Private,304,60,30,40,122,21,21,118,0,21,21,2020-09-12T07:38:29.177,2021-05-07T04:49:07.483,1,Hospital,"Sector 51, Gurugram - 122001",,01244511111,28.4315,77.0724,2021-05-07T04:49:07.483Z
9356,Red Fox,Private,150,0,0,0,0,0,0,45,0,0,0,2021-04-22T05:09:32.12,2021-05-07T12:03:31.38,1,Facility,"Ullawas Dhani Road. Urban complex, Sec-60, Ggn",3500+Taxes,9654992021 (Asif Iqbal),28.4023902182991,77.0997621398071,2021-05-07T12:03:31.038Z
3105,Moms PG-1,Government,40,0,0,0,0,0,0,4,0,0,0,2021-04-22T05:16:20.503,2021-05-07T12:04:05.097,1,Facility,"J-27 Nobel Enclave, Gurugram",700 (3 Times Meal),9911330447 (Baljeet),28.499622019795073,77.0607340076116,2021-05-07T12:04:05.097Z
2567,Ahuja Residency,Private,18,0,0,0,0,0,0,18,0,0,0,2021-04-22T05:09:32.123,2021-05-07T12:04:36.85,1,Facility,"D-7/6 DLF Phase-1, Ggn.",2500+ Taxes,8527311229 (Vikas),28.46670592745655,77.1026941791817,2021-05-07T12:04:36.085Z
649,Ahuja Residency 77 CM,Private,19,0,0,0,0,0,0,16,0,0,0,2021-04-22T11:10:21.06,2021-05-07T12:04:58.517,1,Facility,DLF Phase II gurugram,2500+Taxes,8527311229,28.4919118618734,77.0869663828727,2021-05-07T12:04:58.517Z
5559,Hotel Devi Palace,Private,15,0,0,0,0,0,0,5,0,0,0,2021-04-22T05:09:32.18,2021-05-07T12:05:36.6,1,Facility,"Old Delhi Road, Gurugram.",1400-/,8800620664,28.4672986002042,77.036019584696,2021-05-07T12:05:36.006Z
4017,Imperial Residency,Private,22,0,0,0,0,0,0,17,0,0,0,2021-04-22T05:09:32.187,2021-05-07T12:06:19.683,1,Facility,"Atul Kataria Chownk, Gurugram.",1200-/,9873863201,28.4803402838695,77.0481065491789,2021-05-07T12:06:19.683Z
5704,Hotel Dolphin,Private,33,0,0,0,0,0,0,33,0,0,0,2021-04-22T05:09:32.117,2021-05-07T12:06:43.92,1,Facility,"Prem Nagar, Gurugram",2000 + Taxes,9717954487 (Nitin),28.4683408128881,77.0339756128256,2021-05-07T12:06:43.092Z
3523,Vista Signature,Private,33,0,0,0,0,0,0,30,0,0,0,2021-04-22T11:29:50.903,2021-05-07T12:11:17.647,1,Facility,"Plot no B-109 & 110, near Unitech Signature Towers, South City 1 Sector-41 Gurugram.",Dedicated Covid Health Centre For MAX hospital,9899073784,28.4669926752408,77.0599530926764,2021-05-07T12:11:17.647Z
17098,"SGT Medical College & Research Institute, Budhera",Private,720,20,12,40,50,10,10,36,0,10,10,2020-09-12T07:38:29.177,2021-05-07T12:19:41.043,1,Hospital,"C/o Shree Guru Gobind Singh Tricentenary University, Inner College Road, Budhera, Gurugram - 122505",,01242278183,28.4784,76.9027,2021-05-07T12:19:41.043Z
17174,Vardaan Hospital,Private,32,5,0,40,13,4,1,11,0,4,1,2020-09-12T07:38:29.177,2021-05-07T12:20:39.883,1,Hospital,"Opposite Devi Lal Stadium, Ward # 5, Sohna Gurugram - 122103",,918199984102,28.247051,77.072866,2021-05-07T12:20:39.883Z
8252,Civil Hospital,Government,170,4,4,50,21,4,4,16,0,4,4,2020-09-12T07:38:29.177,2021-05-07T12:24:12.77,1,Hospital,"Sector 10A,Gurugram - 122018",,01242333100,28.456455,76.997418,2021-05-07T12:24:12.077Z
6264,Sunrise Hospital,Private,30,5,0,40,12,4,0,10,0,4,0,2020-09-12T07:38:29.177,2021-05-07T12:24:58.14,1,Hospital,"Near Sector 10 A, Gurugram - 122001",,,28.44282,77.010624,2021-05-07T12:24:58.014Z
9852,Signature Hospital,Private,74,19,7,40,30,13,5,13,0,8,5,2020-09-12T07:38:29.177,2021-05-07T12:25:37.427,1,Hospital,"Near Euro International School, Sector 37D, Gurugram - 122006",,6262828213,28.45429,76.973184,2021-05-07T12:25:37.427Z
5826,Pushpanjali Hospital,Private,50,10,1,40,20,7,1,15,0,7,1,2020-09-12T07:38:29.177,2021-05-07T14:50:56.133,1,Hospital,"Civil Line Road, near Rajiv Chowk, Gurugram - 122001",,01244770000,28.450312,77.032855,2021-05-07T14:50:56.133Z
7299,Shri Govind Hospital,Private,35,5,1,40,14,4,1,7,0,4,1,2020-09-12T07:38:29.177,2021-05-07T14:51:48.67,1,Hospital,"601, 20, Madanpuri Rd, Manohar Nagar, Sector 7, Gurugram - 122001",,01242305550,28.458095,77.016431,2021-05-07T14:51:48.067Z
6678,Aarvy Hospital Civil Lines,Private,50,0,0,40,20,4,0,20,0,4,0,2020-09-12T07:38:29.177,2021-05-07T19:26:15.383,1,Hospital,"530/18 Civil Lines Opp Nehru Stadium, Gurugram - 122001",,01244222270,28.457623,77.030153,2021-05-07T19:26:15.383Z
